t	iOTOC	Densities
188	21.000000	-34:0.1000 -30:0.1000 -29:0.1000 -28:0.1000 -27:0.5000 -26:0.3000 -25:0.1000 -24:0.4000 -23:0.2000 -22:0.2000 -21:0.4000 -20:0.1000 -19:0.3000 -18:0.5000 -17:0.3000 -16:0.8000 -15:0.1000 -14:0.2000 -13:0.2000 -12:0.5000 -11:0.3000 -10:0.5000 -9:0.5000 -8:0.4000 -7:0.7000 -6:0.4000 -5:0.3000 -4:0.4000 -3:0.2000 -2:0.5000 -1:0.4000 0:0.3000 1:0.5000 2:0.4000 3:0.3000 4:0.5000 5:0.7000 6:0.3000 7:0.3000 8:0.6000 9:0.4000 10:0.3000 11:0.3000 12:0.6000 13:0.3000 14:0.4000 15:0.4000 16:0.2000 17:0.3000 18:0.4000 19:0.2000 20:0.2000 21:0.2000 22:0.3000 23:0.3000 24:0.2000 25:0.3000 26:0.3000 27:0.2000 28:0.4000 29:0.1000 30:0.1000 32:0.1000 33:0.1000 34:0.1000 36:0.1000 39:0.1000 50:0.1000
189	24.000000	-48:0.1000 -39:0.1000 -37:0.2000 -30:0.1000 -29:0.1000 -28:0.2000 -27:0.5000 -26:0.3000 -25:0.1000 -24:0.4000 -23:0.2000 -22:0.1000 -21:0.4000 -20:0.2000 -19:0.5000 -18:0.2000 -17:0.1000 -16:0.7000 -15:0.3000 -14:0.6000 -13:0.4000 -12:0.2000 -11:0.2000 -10:0.6000 -9:0.3000 -8:0.6000 -7:0.5000 -6:0.5000 -5:0.4000 -4:0.4000 -3:0.3000 -2:0.5000 -1:0.5000 0:0.3000 1:0.4000 2:0.5000 3:0.4000 4:0.5000 5:0.6000 6:0.2000 7:0.4000 8:0.3000 9:0.4000 10:0.4000 11:0.4000 12:0.5000 13:0.4000 14:0.3000 15:0.6000 16:0.4000 17:0.2000 18:0.5000 19:0.5000 20:0.5000 21:0.2000 22:0.5000 23:0.2000 24:0.3000 25:0.2000 26:0.4000 27:0.2000 28:0.2000 29:0.2000 30:0.2000 31:0.2000 32:0.3000 33:0.1000 34:0.1000 35:0.1000 36:0.1000 37:0.2000 38:0.2000 39:0.2000 42:0.2000 49:0.1000 50:0.1000
190	24.900000	-48:0.1000 -44:0.1000 -41:0.1000 -39:0.2000 -37:0.3000 -36:0.1000 -34:0.2000 -32:0.1000 -31:0.2000 -30:0.2000 -29:0.2000 -28:0.2000 -27:0.7000 -26:0.3000 -25:0.3000 -24:0.4000 -23:0.3000 -22:0.2000 -21:0.3000 -20:0.3000 -19:0.4000 -18:0.1000 -17:0.3000 -16:0.8000 -15:0.2000 -14:0.5000 -13:0.4000 -12:0.4000 -11:0.2000 -10:0.6000 -9:0.5000 -8:0.4000 -7:0.4000 -6:0.4000 -5:0.3000 -4:0.4000 -3:0.2000 -2:0.3000 -1:0.6000 0:0.5000 1:0.5000 2:0.7000 3:0.6000 4:0.4000 5:0.6000 6:0.5000 7:0.3000 8:0.3000 9:0.3000 10:0.6000 11:0.5000 12:0.5000 13:0.3000 14:0.2000 15:0.6000 16:0.3000 17:0.1000 18:0.5000 19:0.3000 20:0.3000 21:0.1000 22:0.3000 23:0.2000 24:0.3000 25:0.2000 26:0.3000 27:0.2000 28:0.2000 29:0.2000 30:0.2000 31:0.2000 32:0.2000 34:0.2000 35:0.1000 36:0.1000 37:0.2000 38:0.2000 39:0.1000 42:0.2000 49:0.1000
191	22.700000	-44:0.1000 -34:0.1000 -31:0.1000 -30:0.1000 -29:0.1000 -28:0.1000 -27:0.4000 -26:0.3000 -25:0.1000 -24:0.1000 -23:0.3000 -22:0.3000 -21:0.3000 -20:0.2000 -19:0.1000 -18:0.1000 -17:0.2000 -16:0.5000 -15:0.1000 -14:0.3000 -13:0.3000 -12:0.4000 -11:0.4000 -10:0.6000 -9:0.5000 -8:0.1000 -7:0.8000 -6:0.3000 -5:0.3000 -4:0.4000 -3:0.4000 -2:0.3000 -1:0.5000 0:0.5000 1:0.6000 2:0.8000 3:0.6000 4:0.3000 5:0.7000 6:0.6000 7:0.2000 8:0.4000 9:0.3000 10:0.6000 11:0.5000 12:0.5000 13:0.3000 14:0.3000 15:0.7000 16:0.2000 17:0.3000 18:0.6000 19:0.1000 20:0.1000 21:0.3000 22:0.2000 23:0.5000 24:0.2000 25:0.3000 26:0.4000 27:0.3000 28:0.4000 29:0.3000 30:0.2000 31:0.2000 32:0.2000 33:0.2000 34:0.2000 36:0.1000 38:0.1000 39:0.1000 50:0.1000
192	24.200000	-44:0.1000 -34:0.1000 -31:0.1000 -30:0.1000 -28:0.1000 -27:0.3000 -26:0.2000 -25:0.2000 -23:0.1000 -22:0.1000 -21:0.3000 -20:0.1000 -19:0.1000 -18:0.1000 -17:0.1000 -16:0.3000 -15:0.1000 -14:0.6000 -13:0.4000 -12:0.7000 -11:0.4000 -10:0.6000 -9:0.6000 -8:0.1000 -7:0.7000 -6:0.4000 -5:0.3000 -4:0.7000 -3:0.5000 -2:0.5000 -1:0.5000 0:0.7000 1:0.4000 2:0.8000 3:0.6000 4:0.5000 5:0.7000 6:0.5000 7:0.3000 8:0.2000 9:0.4000 10:0.6000 11:0.4000 12:0.4000 13:0.5000 14:0.3000 15:0.7000 16:0.5000 17:0.4000 18:0.5000 19:0.4000 20:0.3000 21:0.3000 22:0.3000 23:0.6000 24:0.1000 25:0.2000 26:0.4000 27:0.3000 28:0.3000 29:0.4000 30:0.1000 31:0.3000 32:0.2000 33:0.3000 34:0.3000 35:0.1000 36:0.1000 38:0.1000 39:0.1000 50:0.1000
193	23.800000	-41:0.1000 -39:0.1000 -37:0.1000 -36:0.1000 -34:0.2000 -32:0.1000 -31:0.1000 -30:0.1000 -29:0.1000 -28:0.1000 -27:0.3000 -26:0.1000 -25:0.2000 -23:0.1000 -22:0.1000 -21:0.2000 -20:0.1000 -19:0.1000 -18:0.1000 -17:0.2000 -16:0.2000 -15:0.2000 -14:0.6000 -13:0.5000 -12:0.7000 -11:0.3000 -10:0.5000 -9:0.7000 -8:0.1000 -7:0.7000 -6:0.3000 -5:0.3000 -4:0.6000 -3:0.5000 -2:0.5000 -1:0.6000 0:0.7000 1:0.5000 2:0.7000 3:0.5000 4:0.3000 5:0.8000 6:0.5000 7:0.5000 8:0.2000 9:0.5000 10:0.6000 11:0.4000 12:0.4000 13:0.6000 14:0.3000 15:0.6000 16:0.6000 17:0.6000 18:0.3000 19:0.4000 20:0.4000 21:0.2000 22:0.2000 23:0.4000 24:0.2000 25:0.2000 26:0.4000 27:0.2000 28:0.3000 29:0.2000 30:0.1000 31:0.2000 32:0.1000 33:0.2000 34:0.2000 35:0.1000 36:0.1000 39:0.1000 50:0.1000
194	24.300000	-42:0.1000 -41:0.1000 -39:0.2000 -38:0.1000 -37:0.2000 -36:0.2000 -34:0.2000 -33:0.1000 -32:0.2000 -31:0.1000 -30:0.1000 -29:0.1000 -28:0.1000 -27:0.4000 -26:0.2000 -25:0.2000 -23:0.2000 -22:0.3000 -21:0.3000 -20:0.2000 -18:0.3000 -17:0.4000 -16:0.1000 -15:0.4000 -14:0.4000 -13:0.6000 -12:0.6000 -11:0.5000 -10:0.3000 -9:0.8000 -8:0.4000 -7:0.5000 -6:0.3000 -5:0.5000 -4:0.5000 -3:0.5000 -2:0.3000 -1:0.7000 0:0.4000 1:0.5000 2:0.5000 3:0.3000 4:0.3000 5:0.8000 6:0.4000 7:0.5000 8:0.2000 9:0.5000 10:0.6000 11:0.5000 12:0.6000 13:0.4000 14:0.3000 15:0.5000 16:0.3000 17:0.6000 18:0.4000 19:0.3000 20:0.4000 21:0.3000 22:0.1000 23:0.3000 24:0.2000 25:0.3000 26:0.3000 27:0.2000 28:0.5000 29:0.1000 30:0.3000 31:0.2000 32:0.2000 34:0.1000 35:0.1000 36:0.1000
195	24.600000	-44:0.1000 -41:0.1000 -39:0.1000 -37:0.1000 -36:0.1000 -34:0.1000 -32:0.1000 -31:0.2000 -29:0.1000 -27:0.3000 -26:0.3000 -25:0.2000 -24:0.2000 -23:0.2000 -22:0.2000 -21:0.1000 -20:0.2000 -19:0.2000 -18:0.3000 -17:0.5000 -16:0.5000 -15:0.4000 -14:0.6000 -13:0.6000 -12:0.4000 -11:0.3000 -10:0.5000 -9:0.5000 -8:0.3000 -7:0.5000 -6:0.3000 -5:0.5000 -4:0.4000 -3:0.5000 -2:0.5000 -1:0.3000 0:0.5000 1:0.7000 2:0.6000 3:0.3000 4:0.4000 5:0.5000 6:0.5000 7:0.4000 8:0.3000 9:0.3000 10:0.4000 11:0.6000 12:0.5000 13:0.4000 14:0.3000 15:0.4000 16:0.3000 17:0.4000 18:0.6000 19:0.5000 20:0.4000 21:0.5000 22:0.2000 23:0.4000 24:0.2000 25:0.4000 26:0.2000 27:0.4000 28:0.4000 29:0.1000 30:0.4000 31:0.1000 33:0.1000 34:0.2000 35:0.2000 36:0.1000 37:0.2000 38:0.1000 40:0.1000 41:0.1000 42:0.1000
196	26.100000	-44:0.2000 -42:0.2000 -39:0.1000 -38:0.1000 -37:0.3000 -36:0.2000 -35:0.1000 -33:0.1000 -32:0.1000 -31:0.2000 -30:0.1000 -29:0.1000 -28:0.2000 -27:0.3000 -26:0.2000 -25:0.4000 -24:0.1000 -23:0.2000 -22:0.4000 -21:0.3000 -20:0.1000 -19:0.2000 -18:0.6000 -17:0.4000 -16:0.5000 -15:0.5000 -14:0.6000 -13:0.5000 -12:0.4000 -11:0.6000 -10:0.3000 -9:0.6000 -8:0.3000 -7:0.4000 -6:0.4000 -5:0.6000 -4:0.7000 -3:0.8000 -2:0.3000 -1:0.5000 0:0.2000 1:0.2000 2:0.4000 3:0.4000 4:0.4000 5:0.5000 6:0.1000 7:0.7000 8:0.5000 9:0.4000 10:0.4000 11:0.6000 12:0.5000 13:0.4000 14:0.3000 15:0.4000 16:0.4000 17:0.6000 18:0.6000 19:0.5000 20:0.5000 21:0.5000 22:0.2000 23:0.3000 24:0.2000 25:0.3000 26:0.2000 27:0.1000 28:0.4000 29:0.2000 30:0.5000 31:0.1000 32:0.1000 34:0.2000 35:0.2000 36:0.1000 37:0.1000 38:0.1000 42:0.1000
197	27.400000	-42:0.1000 -41:0.1000 -39:0.2000 -38:0.1000 -37:0.3000 -36:0.3000 -35:0.1000 -34:0.1000 -33:0.1000 -32:0.2000 -31:0.1000 -29:0.2000 -28:0.1000 -27:0.2000 -26:0.2000 -25:0.3000 -23:0.2000 -22:0.3000 -21:0.3000 -20:0.1000 -19:0.1000 -18:0.3000 -17:0.4000 -16:0.1000 -15:0.5000 -14:0.4000 -13:0.6000 -12:0.5000 -11:0.6000 -10:0.3000 -9:0.7000 -8:0.7000 -7:0.4000 -6:0.2000 -5:0.5000 -4:0.5000 -3:0.6000 -2:0.3000 -1:0.5000 0:0.6000 1:0.5000 2:0.5000 3:0.4000 4:0.2000 5:0.4000 6:0.6000 7:0.7000 8:0.4000 9:0.7000 10:0.5000 11:0.6000 12:0.6000 13:0.4000 14:0.6000 15:0.4000 16:0.5000 17:0.6000 18:0.5000 19:0.4000 20:0.5000 21:0.4000 22:0.2000 23:0.3000 24:0.3000 25:0.3000 26:0.3000 27:0.2000 28:0.4000 29:0.5000 30:0.4000 31:0.1000 32:0.4000 34:0.3000 35:0.3000 36:0.2000 37:0.1000 38:0.1000 40:0.1000 42:0.1000
198	30.200000	-42:0.1000 -41:0.1000 -39:0.2000 -38:0.1000 -37:0.3000 -36:0.3000 -35:0.1000 -34:0.2000 -33:0.1000 -32:0.2000 -31:0.1000 -30:0.1000 -29:0.2000 -28:0.1000 -27:0.3000 -26:0.2000 -25:0.1000 -24:0.1000 -23:0.2000 -22:0.3000 -21:0.3000 -19:0.3000 -18:0.3000 -17:0.3000 -16:0.3000 -15:0.6000 -14:0.5000 -13:0.6000 -12:0.7000 -11:0.6000 -10:0.3000 -9:0.4000 -8:0.7000 -7:0.6000 -6:0.4000 -5:0.5000 -4:0.6000 -3:0.3000 -2:0.6000 -1:0.6000 0:0.6000 1:0.7000 2:0.4000 3:0.3000 4:0.3000 5:0.4000 6:0.7000 7:0.7000 8:0.3000 9:0.6000 10:0.5000 11:0.5000 12:0.5000 13:0.2000 14:0.5000 15:0.3000 16:0.5000 17:0.5000 18:0.3000 19:0.5000 20:0.6000 21:0.4000 22:0.5000 23:0.4000 24:0.4000 25:0.3000 26:0.4000 27:0.5000 28:0.3000 29:0.5000 30:0.4000 31:0.2000 32:0.6000 33:0.2000 34:0.1000 35:0.3000 36:0.2000 37:0.3000 38:0.2000 39:0.1000 40:0.2000 41:0.1000 42:0.2000 43:0.2000 47:0.1000 50:0.2000 54:0.1000
199	29.300000	-42:0.1000 -41:0.1000 -39:0.2000 -38:0.1000 -37:0.3000 -36:0.3000 -35:0.1000 -34:0.2000 -33:0.1000 -32:0.2000 -31:0.1000 -30:0.1000 -29:0.2000 -28:0.1000 -27:0.3000 -26:0.2000 -25:0.1000 -24:0.1000 -23:0.1000 -22:0.3000 -21:0.2000 -19:0.2000 -18:0.4000 -17:0.4000 -16:0.4000 -15:0.7000 -14:0.6000 -13:0.6000 -12:0.6000 -11:0.5000 -10:0.2000 -9:0.3000 -8:0.6000 -7:0.7000 -6:0.4000 -5:0.6000 -4:0.6000 -3:0.3000 -2:0.4000 -1:0.6000 0:0.4000 1:0.6000 2:0.4000 3:0.4000 4:0.4000 5:0.4000 6:0.7000 7:0.6000 8:0.3000 9:0.6000 10:0.4000 11:0.4000 12:0.5000 13:0.2000 14:0.4000 15:0.4000 16:0.3000 17:0.4000 18:0.5000 19:0.7000 20:0.5000 21:0.4000 22:0.5000 23:0.5000 24:0.3000 25:0.4000 26:0.4000 27:0.4000 28:0.4000 29:0.4000 30:0.4000 31:0.2000 32:0.5000 33:0.2000 34:0.2000 35:0.3000 36:0.1000 37:0.2000 38:0.3000 39:0.1000 40:0.2000 41:0.1000 42:0.1000 43:0.2000 47:0.1000 50:0.2000 54:0.1000
200	31.300000	-59:0.1000 -55:0.1000 -54:0.1000 -53:0.1000 -52:0.1000 -51:0.2000 -50:0.1000 -48:0.1000 -47:0.1000 -46:0.2000 -45:0.2000 -44:0.1000 -42:0.2000 -41:0.1000 -40:0.1000 -39:0.3000 -38:0.1000 -37:0.2000 -36:0.3000 -35:0.2000 -34:0.4000 -33:0.1000 -32:0.2000 -31:0.3000 -30:0.1000 -29:0.2000 -28:0.1000 -27:0.3000 -26:0.1000 -25:0.1000 -23:0.2000 -22:0.3000 -21:0.3000 -20:0.1000 -19:0.3000 -18:0.3000 -17:0.2000 -16:0.2000 -15:0.5000 -14:0.3000 -13:0.3000 -12:0.5000 -11:0.4000 -10:0.1000 -9:0.3000 -8:0.6000 -7:0.6000 -6:0.3000 -5:0.7000 -4:0.8000 -3:0.5000 -2:0.4000 -1:0.5000 0:0.6000 1:0.6000 2:0.8000 3:0.4000 4:0.5000 5:0.4000 6:0.7000 7:0.7000 8:0.5000 9:0.7000 10:0.5000 11:0.5000 12:0.5000 13:0.3000 14:0.5000 15:0.6000 16:0.2000 17:0.2000 18:0.4000 19:0.6000 20:0.4000 21:0.3000 22:0.6000 23:0.3000 24:0.4000 25:0.4000 26:0.4000 27:0.4000 28:0.4000 29:0.5000 30:0.2000 31:0.2000 32:0.6000 33:0.2000 34:0.2000 35:0.3000 36:0.1000 37:0.2000 38:0.3000 39:0.1000 40:0.2000 41:0.1000 42:0.1000 43:0.2000 47:0.1000 50:0.2000 54:0.1000
201	32.400000	-59:0.1000 -55:0.1000 -54:0.1000 -53:0.1000 -52:0.1000 -51:0.2000 -50:0.1000 -48:0.1000 -47:0.1000 -46:0.2000 -45:0.2000 -44:0.1000 -42:0.2000 -41:0.1000 -40:0.1000 -39:0.3000 -38:0.1000 -37:0.2000 -36:0.3000 -35:0.2000 -34:0.4000 -33:0.1000 -32:0.2000 -31:0.3000 -30:0.1000 -29:0.2000 -28:0.2000 -27:0.3000 -26:0.1000 -25:0.2000 -23:0.4000 -22:0.3000 -21:0.4000 -20:0.2000 -19:0.2000 -18:0.4000 -17:0.3000 -16:0.2000 -15:0.4000 -14:0.3000 -13:0.4000 -12:0.7000 -11:0.6000 -10:0.4000 -9:0.3000 -8:0.6000 -7:0.6000 -6:0.4000 -5:0.5000 -4:0.7000 -3:0.6000 -2:0.6000 -1:0.5000 0:0.8000 1:0.6000 2:0.8000 3:0.3000 4:0.5000 5:0.5000 6:0.9000 7:0.6000 8:0.7000 9:0.5000 10:0.4000 11:0.7000 12:0.5000 13:0.2000 14:0.6000 15:0.5000 16:0.3000 17:0.3000 18:0.3000 19:0.4000 20:0.4000 21:0.6000 22:0.3000 23:0.2000 24:0.5000 25:0.4000 26:0.4000 27:0.3000 28:0.4000 29:0.5000 30:0.3000 31:0.2000 32:0.5000 33:0.1000 34:0.1000 35:0.3000 36:0.2000 37:0.2000 38:0.2000 40:0.1000 42:0.2000 43:0.2000 47:0.1000 50:0.1000 54:0.1000
202	31.800000	-59:0.1000 -55:0.1000 -54:0.1000 -53:0.1000 -52:0.1000 -51:0.2000 -50:0.1000 -48:0.1000 -47:0.1000 -46:0.1000 -45:0.1000 -44:0.1000 -42:0.1000 -41:0.1000 -40:0.2000 -39:0.2000 -38:0.1000 -37:0.2000 -36:0.2000 -35:0.2000 -34:0.3000 -32:0.2000 -31:0.2000 -30:0.2000 -29:0.4000 -28:0.3000 -27:0.4000 -26:0.3000 -25:0.4000 -24:0.2000 -23:0.5000 -22:0.1000 -21:0.3000 -20:0.4000 -19:0.2000 -18:0.4000 -17:0.6000 -16:0.5000 -15:0.4000 -14:0.3000 -13:0.4000 -12:0.5000 -11:0.6000 -10:0.5000 -9:0.4000 -8:0.6000 -7:0.5000 -6:0.5000 -5:0.6000 -4:0.4000 -3:0.6000 -2:0.4000 -1:0.3000 0:0.5000 1:0.6000 2:0.8000 3:0.3000 4:0.5000 5:0.5000 6:0.8000 7:0.5000 8:0.5000 9:0.4000 10:0.3000 11:0.7000 12:0.5000 13:0.4000 14:0.7000 15:0.4000 16:0.4000 17:0.5000 18:0.4000 19:0.4000 20:0.4000 21:0.6000 22:0.3000 23:0.3000 24:0.4000 25:0.5000 26:0.4000 27:0.4000 28:0.3000 29:0.4000 30:0.3000 31:0.1000 32:0.4000 33:0.1000 34:0.2000 35:0.3000 36:0.2000 37:0.1000 38:0.2000 40:0.1000 42:0.1000 43:0.1000
203	29.100000	-53:0.1000 -51:0.1000 -48:0.1000 -44:0.1000 -42:0.1000 -40:0.1000 -39:0.1000 -38:0.2000 -37:0.3000 -36:0.2000 -35:0.3000 -34:0.1000 -33:0.1000 -32:0.2000 -31:0.2000 -30:0.2000 -29:0.2000 -28:0.4000 -27:0.4000 -26:0.4000 -25:0.1000 -24:0.1000 -23:0.4000 -22:0.4000 -21:0.4000 -20:0.2000 -19:0.2000 -18:0.6000 -17:0.3000 -16:0.4000 -15:0.5000 -14:0.4000 -13:0.3000 -12:0.5000 -11:0.3000 -10:0.6000 -9:0.3000 -8:0.3000 -7:0.5000 -6:0.6000 -5:0.4000 -4:0.4000 -3:0.5000 -2:0.3000 -1:0.2000 0:0.7000 1:0.4000 2:0.5000 3:0.3000 4:0.6000 5:0.4000 6:0.7000 7:0.5000 8:0.6000 9:0.5000 10:0.3000 11:0.4000 12:0.4000 13:0.2000 14:0.6000 15:0.4000 16:0.2000 17:0.5000 18:0.3000 19:0.3000 20:0.4000 21:0.3000 22:0.4000 23:0.3000 24:0.5000 25:0.2000 26:0.4000 27:0.4000 28:0.3000 29:0.3000 30:0.3000 31:0.3000 32:0.3000 33:0.1000 34:0.2000 35:0.3000 36:0.2000 37:0.2000 38:0.3000 39:0.1000 40:0.1000 42:0.2000 43:0.2000 44:0.1000 45:0.1000 47:0.2000 50:0.1000 54:0.1000 55:0.1000 59:0.1000 62:0.1000
204	30.800000	-53:0.1000 -51:0.1000 -48:0.1000 -42:0.1000 -40:0.1000 -39:0.2000 -38:0.2000 -37:0.3000 -36:0.3000 -35:0.2000 -34:0.2000 -33:0.1000 -32:0.2000 -31:0.2000 -30:0.3000 -29:0.4000 -28:0.3000 -27:0.3000 -26:0.3000 -25:0.1000 -24:0.2000 -23:0.3000 -22:0.4000 -21:0.4000 -20:0.2000 -19:0.2000 -18:0.3000 -17:0.5000 -16:0.6000 -15:0.6000 -14:0.5000 -13:0.8000 -12:0.6000 -11:0.4000 -10:0.4000 -9:0.5000 -8:0.4000 -7:0.5000 -6:0.8000 -5:0.4000 -4:0.6000 -3:0.5000 -2:0.6000 -1:0.4000 0:0.5000 1:0.3000 2:0.5000 3:0.5000 4:0.6000 5:0.4000 6:0.6000 7:0.6000 8:0.5000 9:0.7000 10:0.3000 11:0.4000 12:0.5000 13:0.2000 14:0.5000 15:0.5000 16:0.3000 17:0.4000 18:0.4000 19:0.2000 20:0.5000 21:0.2000 22:0.7000 23:0.4000 24:0.3000 25:0.3000 26:0.5000 27:0.3000 28:0.3000 29:0.4000 30:0.2000 31:0.3000 32:0.3000 34:0.3000 35:0.2000 36:0.2000 37:0.2000 39:0.1000 40:0.1000 41:0.1000 42:0.1000 43:0.1000 44:0.1000 45:0.1000 47:0.1000 55:0.1000 59:0.1000 62:0.1000
205	34.400000	-44:0.1000 -42:0.2000 -41:0.1000 -39:0.2000 -38:0.1000 -37:0.5000 -36:0.3000 -35:0.1000 -34:0.3000 -33:0.1000 -32:0.2000 -31:0.3000 -30:0.3000 -29:0.4000 -28:0.4000 -27:0.5000 -26:0.3000 -25:0.4000 -24:0.2000 -23:0.2000 -22:0.5000 -21:0.4000 -19:0.4000 -18:0.5000 -17:0.3000 -16:0.7000 -15:0.5000 -14:0.5000 -13:0.9000 -12:0.5000 -11:0.3000 -10:0.3000 -9:0.5000 -8:0.5000 -7:0.6000 -6:0.5000 -5:0.5000 -4:0.8000 -3:0.5000 -2:0.7000 -1:0.5000 0:0.6000 1:0.6000 2:0.4000 3:0.5000 4:0.6000 5:0.7000 6:0.6000 7:0.7000 8:0.5000 9:0.6000 10:0.3000 11:0.7000 12:0.7000 13:0.6000 14:0.7000 15:0.6000 16:0.2000 17:0.4000 18:0.3000 19:0.3000 20:0.3000 21:0.4000 22:0.5000 23:0.4000 24:0.4000 25:0.5000 26:0.4000 27:0.3000 28:0.5000 29:0.3000 30:0.4000 31:0.4000 32:0.4000 34:0.3000 35:0.2000 36:0.2000 37:0.3000 38:0.1000 39:0.2000 40:0.1000 41:0.1000 42:0.2000 43:0.1000 44:0.1000 45:0.1000 47:0.1000 49:0.1000 55:0.1000 59:0.1000 62:0.1000
206	31.900000	-53:0.1000 -51:0.1000 -48:0.1000 -46:0.1000 -45:0.1000 -44:0.1000 -42:0.2000 -39:0.1000 -38:0.1000 -37:0.3000 -36:0.2000 -35:0.2000 -34:0.2000 -33:0.1000 -32:0.1000 -31:0.3000 -30:0.3000 -29:0.2000 -28:0.3000 -27:0.5000 -26:0.2000 -25:0.2000 -24:0.1000 -23:0.4000 -22:0.5000 -21:0.4000 -19:0.3000 -18:0.5000 -17:0.4000 -16:0.2000 -15:0.5000 -14:0.3000 -13:0.6000 -12:0.4000 -11:0.2000 -10:0.5000 -9:0.3000 -8:0.6000 -7:0.6000 -6:0.4000 -5:0.5000 -4:0.5000 -3:0.7000 -2:0.5000 -1:0.6000 0:0.6000 1:0.4000 2:0.5000 3:0.6000 4:0.6000 5:0.7000 6:0.7000 7:0.6000 8:0.3000 9:0.7000 10:0.4000 11:0.6000 12:0.7000 13:0.5000 14:0.4000 15:0.6000 16:0.2000 17:0.4000 18:0.4000 19:0.5000 20:0.7000 21:0.5000 22:0.4000 23:0.4000 24:0.5000 25:0.3000 26:0.3000 27:0.3000 28:0.5000 29:0.5000 30:0.4000 31:0.2000 32:0.4000 33:0.1000 34:0.3000 35:0.4000 36:0.2000 37:0.2000 38:0.3000 39:0.1000 40:0.1000 42:0.2000 50:0.1000
207	28.300000	-53:0.1000 -51:0.1000 -48:0.1000 -44:0.1000 -42:0.2000 -40:0.1000 -39:0.1000 -38:0.2000 -37:0.3000 -36:0.1000 -35:0.1000 -34:0.2000 -33:0.1000 -32:0.2000 -31:0.2000 -30:0.4000 -29:0.2000 -28:0.4000 -27:0.4000 -26:0.1000 -25:0.2000 -24:0.1000 -23:0.3000 -22:0.4000 -21:0.2000 -20:0.2000 -19:0.2000 -18:0.4000 -17:0.4000 -16:0.4000 -15:0.6000 -13:0.7000 -12:0.5000 -11:0.5000 -10:0.5000 -9:0.4000 -8:0.5000 -7:0.6000 -6:0.5000 -5:0.4000 -4:0.5000 -3:0.3000 -2:0.3000 -1:0.6000 0:0.4000 1:0.4000 2:0.4000 3:0.4000 4:0.5000 5:0.7000 6:0.5000 7:0.6000 8:0.3000 9:0.5000 10:0.3000 11:0.6000 12:0.7000 13:0.3000 14:0.4000 15:0.4000 16:0.4000 17:0.5000 18:0.3000 19:0.4000 20:0.5000 21:0.5000 22:0.3000 24:0.5000 25:0.3000 26:0.3000 27:0.3000 28:0.2000 29:0.4000 30:0.3000 31:0.2000 32:0.3000 34:0.1000 35:0.4000 36:0.2000 37:0.3000 38:0.3000 40:0.2000 41:0.1000 42:0.2000
208	30.200000	-44:0.1000 -42:0.2000 -39:0.1000 -38:0.1000 -37:0.3000 -36:0.1000 -34:0.1000 -33:0.1000 -32:0.1000 -31:0.2000 -30:0.2000 -29:0.2000 -28:0.3000 -27:0.6000 -26:0.3000 -25:0.5000 -24:0.2000 -23:0.2000 -22:0.3000 -21:0.3000 -20:0.4000 -19:0.5000 -18:0.5000 -17:0.6000 -16:0.7000 -15:0.4000 -14:0.5000 -13:0.6000 -12:0.5000 -11:0.4000 -10:0.4000 -9:0.5000 -8:0.2000 -7:0.3000 -6:0.2000 -5:0.4000 -4:0.7000 -3:0.3000 -2:0.5000 -1:0.5000 0:0.5000 1:0.7000 2:0.4000 3:0.4000 4:0.7000 5:0.8000 6:0.5000 7:0.6000 8:0.4000 9:0.3000 10:0.5000 11:0.5000 12:0.7000 13:0.2000 14:0.5000 15:0.6000 16:0.2000 17:0.4000 18:0.4000 19:0.4000 20:0.5000 21:0.4000 22:0.5000 23:0.5000 24:0.5000 25:0.5000 26:0.4000 27:0.4000 28:0.4000 29:0.4000 30:0.3000 31:0.3000 33:0.1000 34:0.2000 35:0.4000 36:0.1000 37:0.2000 38:0.2000 39:0.1000 40:0.2000 41:0.1000 42:0.1000 49:0.1000
209	31.700000	-42:0.1000 -39:0.1000 -38:0.1000 -37:0.1000 -36:0.1000 -34:0.2000 -33:0.1000 -32:0.1000 -31:0.1000 -30:0.2000 -29:0.1000 -28:0.1000 -27:0.3000 -26:0.2000 -25:0.2000 -24:0.1000 -23:0.2000 -22:0.3000 -21:0.1000 -20:0.3000 -19:0.2000 -18:0.2000 -17:0.6000 -16:0.5000 -15:0.5000 -14:0.6000 -13:0.6000 -12:0.6000 -11:0.4000 -10:0.5000 -9:0.8000 -8:0.4000 -7:0.6000 -6:0.4000 -5:0.5000 -4:0.6000 -3:0.4000 -2:0.4000 -1:0.5000 0:0.3000 1:0.4000 2:0.7000 3:0.4000 4:0.8000 5:0.5000 6:0.6000 7:0.6000 8:0.5000 9:0.6000 10:0.6000 11:0.4000 12:0.8000 13:0.1000 14:0.5000 15:0.6000 16:0.5000 17:0.3000 18:0.7000 19:0.5000 20:0.6000 21:0.5000 22:0.7000 23:0.6000 24:0.3000 25:0.4000 26:0.6000 27:0.4000 28:0.5000 29:0.4000 30:0.3000 31:0.3000 32:0.5000 33:0.5000 34:0.2000 35:0.3000 36:0.1000 37:0.1000 38:0.3000 39:0.2000 40:0.1000 41:0.2000 43:0.2000 47:0.2000 50:0.2000 52:0.1000 54:0.1000
