t	iOTOC	Densities
145	39.600000	-64:0.2000 -62:0.4000 -61:0.4000 -59:0.2000 -58:0.4000 -56:0.4000 -55:0.2000 -53:0.2000 -52:0.4000 -51:0.2000 -50:0.2000 -47:0.2000 -46:0.2000 -44:0.2000 -43:0.4000 -41:0.4000 -40:0.2000 -39:0.4000 -37:0.2000 -36:0.2000 -35:0.4000 -34:0.2000 -33:0.2000 -32:0.4000 -31:0.2000 -30:0.4000 -29:0.6000 -28:0.2000 -27:0.2000 -25:0.4000 -24:0.4000 -22:0.2000 -21:0.4000 -20:0.2000 -19:0.6000 -18:0.6000 -17:0.4000 -16:0.2000 -15:0.2000 -14:0.2000 -13:0.6000 -12:0.6000 -11:0.2000 -10:0.2000 -9:0.4000 -8:0.2000 -6:0.4000 -5:0.4000 -4:0.2000 -3:0.4000 -2:0.4000 0:0.2000 1:0.2000 3:0.2000 4:0.4000 5:0.6000 6:0.2000 7:0.6000 9:0.4000 10:0.6000 11:0.2000 12:0.4000 13:0.2000 14:0.6000 15:0.4000 16:0.2000 17:0.6000 18:0.4000 19:0.4000 21:0.2000 22:0.6000 23:0.8000 24:0.6000 26:0.4000 27:0.6000 28:0.2000 30:0.2000 31:0.8000 32:0.2000 33:0.6000 34:0.4000 35:0.2000 36:0.6000 37:0.6000 38:0.6000 39:0.2000 40:0.4000 41:0.4000 42:0.2000 43:0.2000 44:0.2000 45:0.4000 47:0.2000 48:0.4000 49:0.4000 50:0.2000 51:0.2000 52:0.4000 53:0.6000 54:0.2000 55:0.6000 56:0.4000 57:0.8000 58:0.2000 59:0.6000 60:0.4000 61:0.4000 62:0.2000 63:0.4000 64:0.4000
146	42.200000	-64:0.2000 -63:0.4000 -62:0.2000 -60:0.2000 -57:0.4000 -55:0.2000 -53:0.4000 -52:0.6000 -50:0.6000 -49:0.2000 -48:0.2000 -47:0.2000 -46:0.2000 -45:0.4000 -44:0.2000 -43:0.2000 -42:0.2000 -41:0.4000 -40:0.2000 -39:0.4000 -37:0.2000 -36:0.4000 -35:0.2000 -34:0.2000 -33:0.4000 -32:0.6000 -31:0.4000 -30:0.4000 -29:0.4000 -28:0.4000 -27:0.8000 -26:0.6000 -23:0.2000 -22:0.2000 -21:0.4000 -20:0.2000 -19:0.2000 -18:0.4000 -17:0.6000 -16:0.4000 -15:0.6000 -14:0.4000 -13:0.6000 -12:0.4000 -11:0.2000 -10:0.4000 -9:0.4000 -8:0.6000 -7:0.8000 -6:0.6000 -5:0.6000 -4:0.4000 -3:0.2000 -2:1.0000 -1:0.4000 0:0.6000 1:0.4000 2:0.6000 3:0.2000 4:0.4000 6:0.2000 7:0.4000 8:0.6000 9:0.2000 10:0.4000 11:0.6000 13:0.4000 14:0.4000 15:0.2000 17:0.2000 18:0.8000 19:0.4000 20:0.4000 21:0.6000 22:0.8000 24:0.2000 25:0.4000 26:0.8000 27:0.4000 28:0.6000 29:0.2000 30:0.2000 31:0.4000 32:0.4000 33:0.4000 34:0.2000 35:0.4000 36:0.4000 37:0.2000 38:0.2000 39:0.2000 40:0.4000 41:0.4000 42:0.4000 43:0.2000 47:0.2000 48:0.6000 49:0.4000 50:0.4000 51:0.2000 52:0.6000 53:0.4000 54:0.6000 55:0.2000 56:0.2000 57:0.2000 58:0.4000 59:0.2000 60:0.2000 63:0.2000 64:0.2000
147	43.000000	-63:0.4000 -62:0.6000 -58:0.2000 -57:0.2000 -55:0.6000 -53:0.2000 -52:0.4000 -51:0.2000 -50:0.4000 -47:0.2000 -46:0.4000 -45:0.2000 -44:0.2000 -42:0.4000 -41:0.4000 -40:0.2000 -39:0.2000 -37:0.6000 -36:0.6000 -35:0.2000 -34:0.4000 -33:0.2000 -32:0.6000 -31:0.2000 -30:0.4000 -29:0.8000 -28:0.4000 -26:0.2000 -25:0.2000 -24:0.4000 -22:0.6000 -21:0.6000 -20:0.4000 -18:0.6000 -17:0.2000 -16:0.2000 -15:0.2000 -14:0.2000 -13:0.4000 -12:0.2000 -11:0.6000 -10:0.4000 -9:0.4000 -8:0.2000 -7:0.8000 -6:0.8000 -5:0.2000 -4:0.2000 -2:0.4000 -1:0.4000 0:0.6000 1:0.8000 2:0.4000 3:0.2000 4:0.8000 5:0.8000 6:0.4000 7:0.6000 8:0.6000 9:0.8000 10:0.6000 11:0.4000 12:0.6000 13:0.6000 14:0.4000 15:0.4000 16:0.4000 17:0.2000 19:0.2000 20:0.2000 21:0.6000 22:0.4000 23:0.4000 24:0.8000 26:0.6000 27:0.8000 28:0.6000 29:0.2000 30:0.4000 31:0.6000 33:0.6000 34:0.6000 35:0.4000 36:0.2000 37:0.4000 38:0.4000 39:0.6000 40:0.2000 42:0.2000 43:0.4000 45:0.2000 47:0.2000 48:0.4000 49:0.2000 51:0.2000 52:0.4000 54:0.6000 55:0.2000 56:0.6000 57:0.2000 58:0.2000 59:0.2000 60:0.4000 61:0.4000 62:0.4000 63:0.2000
148	44.800000	-63:0.4000 -62:0.4000 -61:0.2000 -60:0.2000 -59:0.2000 -58:0.2000 -57:0.4000 -56:0.2000 -55:0.4000 -53:0.4000 -52:0.8000 -50:0.6000 -49:0.2000 -46:0.2000 -45:0.2000 -44:0.4000 -43:0.4000 -42:0.6000 -41:0.2000 -40:0.2000 -39:0.4000 -38:0.2000 -37:0.4000 -36:0.6000 -35:0.4000 -34:0.2000 -33:0.2000 -32:0.4000 -31:0.4000 -30:0.4000 -29:0.4000 -28:0.8000 -27:0.4000 -26:0.2000 -25:0.4000 -24:0.4000 -23:0.6000 -22:0.8000 -21:0.4000 -20:0.2000 -19:0.2000 -18:0.6000 -17:0.6000 -15:0.2000 -14:0.2000 -13:0.6000 -12:0.2000 -11:0.6000 -10:0.2000 -9:0.2000 -8:0.2000 -7:0.8000 -6:0.8000 -4:0.4000 -3:0.2000 -2:0.4000 -1:0.4000 0:0.2000 1:0.8000 2:0.4000 3:0.4000 4:0.4000 5:0.4000 6:0.4000 7:0.4000 8:0.6000 9:0.4000 10:0.4000 11:0.4000 12:0.8000 13:0.4000 14:0.2000 15:0.4000 16:0.6000 17:0.2000 18:0.2000 19:0.2000 20:0.4000 21:0.6000 22:0.6000 23:0.4000 24:0.4000 25:0.4000 26:0.2000 27:0.6000 28:0.6000 29:0.8000 30:0.6000 31:0.6000 32:0.4000 33:0.6000 34:0.4000 35:0.4000 36:0.2000 37:0.6000 38:0.4000 39:0.4000 40:0.4000 43:0.4000 44:0.2000 45:0.2000 46:0.2000 47:0.2000 48:0.4000 51:0.2000 52:0.6000 54:0.4000 56:0.4000 57:0.2000 58:0.2000 60:0.4000 61:0.4000 62:0.2000 64:0.2000
149	42.200000	-63:0.2000 -62:0.2000 -61:0.2000 -60:0.2000 -59:0.2000 -58:0.2000 -57:0.2000 -56:0.2000 -55:0.2000 -54:0.2000 -52:0.6000 -50:0.4000 -49:0.4000 -47:0.2000 -46:0.2000 -45:0.8000 -44:0.2000 -43:0.4000 -42:0.2000 -41:0.2000 -39:0.2000 -38:0.2000 -37:0.4000 -36:0.4000 -35:0.4000 -33:0.6000 -31:0.4000 -29:0.4000 -28:0.2000 -27:0.2000 -26:0.4000 -25:0.2000 -24:0.6000 -23:0.8000 -22:0.2000 -21:0.4000 -20:0.2000 -19:0.4000 -18:0.4000 -17:0.4000 -16:0.4000 -15:0.4000 -13:0.4000 -12:0.4000 -11:0.2000 -9:0.4000 -8:0.2000 -7:0.4000 -6:0.6000 -5:0.8000 -3:0.4000 -2:0.4000 -1:0.6000 1:0.8000 2:0.2000 3:0.2000 4:0.6000 5:0.2000 6:0.4000 7:0.4000 8:0.6000 9:0.2000 10:0.4000 11:0.6000 12:0.6000 13:0.4000 14:0.4000 16:0.6000 17:0.4000 18:0.4000 20:0.6000 21:0.6000 22:0.6000 23:0.2000 24:0.8000 25:0.2000 26:0.4000 27:0.2000 28:0.8000 29:0.4000 30:0.4000 31:0.2000 32:0.4000 33:0.8000 34:0.4000 35:0.4000 36:0.4000 38:0.4000 39:0.4000 40:0.4000 41:0.4000 42:0.2000 43:0.4000 45:0.2000 46:0.4000 47:0.4000 48:0.4000 49:0.4000 50:0.2000 51:0.6000 52:0.4000 53:0.4000 54:0.2000 56:0.4000 57:0.2000 58:0.4000 59:0.2000 60:0.2000 61:0.2000 62:0.4000 63:0.2000 64:0.4000
150	43.400000	-63:0.2000 -62:0.2000 -61:0.6000 -60:0.4000 -59:0.2000 -58:0.6000 -56:0.6000 -55:0.2000 -53:0.2000 -52:0.4000 -51:0.2000 -50:0.2000 -49:0.4000 -48:0.2000 -47:0.6000 -46:0.2000 -45:0.4000 -44:0.2000 -43:0.2000 -42:0.6000 -41:0.4000 -40:0.2000 -39:0.6000 -38:0.4000 -37:0.6000 -36:0.6000 -35:0.2000 -34:0.6000 -33:0.4000 -32:0.2000 -31:0.4000 -30:0.4000 -29:0.4000 -28:0.4000 -27:0.6000 -26:0.6000 -25:0.8000 -24:0.6000 -23:0.6000 -22:0.6000 -21:0.4000 -20:0.6000 -19:0.8000 -18:0.4000 -17:0.4000 -16:0.4000 -15:0.4000 -14:0.4000 -13:0.6000 -12:0.4000 -11:0.4000 -10:0.4000 -9:0.4000 -8:0.6000 -7:0.8000 -6:0.2000 -5:0.2000 -4:0.4000 -3:0.4000 -2:0.2000 -1:0.4000 0:0.6000 1:0.8000 3:0.4000 4:0.6000 6:0.6000 7:0.2000 8:0.2000 9:0.2000 11:0.4000 12:0.2000 13:0.6000 14:0.4000 16:0.6000 17:0.4000 18:0.4000 19:0.2000 20:0.4000 21:0.4000 22:0.2000 23:0.2000 24:0.2000 26:0.4000 27:0.2000 28:0.4000 29:0.2000 30:0.6000 31:0.6000 32:0.2000 33:0.2000 35:0.4000 36:0.2000 38:0.4000 39:0.4000 40:0.2000 42:0.2000 43:0.2000 45:0.4000 47:0.2000 49:0.4000 51:0.4000 52:0.2000 53:0.2000 54:0.4000 55:0.2000 56:0.2000 57:0.2000 58:0.4000 59:0.2000 60:0.2000 61:0.4000 62:0.2000 63:0.4000 64:0.2000
151	45.400000	-64:0.2000 -63:0.4000 -60:0.4000 -55:0.2000 -54:0.2000 -53:0.2000 -52:0.2000 -50:0.2000 -49:0.2000 -46:0.4000 -45:0.6000 -43:0.2000 -42:0.6000 -41:0.6000 -40:0.4000 -39:0.4000 -37:0.4000 -36:0.6000 -35:0.4000 -34:0.4000 -33:0.2000 -31:0.6000 -30:0.2000 -29:0.8000 -28:0.2000 -27:0.4000 -26:0.6000 -25:0.4000 -24:0.6000 -23:0.2000 -22:0.2000 -21:0.4000 -20:0.6000 -19:0.4000 -18:0.4000 -17:0.4000 -16:0.4000 -15:0.6000 -14:0.6000 -13:0.6000 -12:0.6000 -11:0.6000 -10:0.8000 -9:0.4000 -8:0.6000 -7:0.6000 -6:0.4000 -4:0.4000 -3:0.4000 -1:0.2000 0:0.8000 1:0.8000 2:0.4000 3:0.4000 4:0.4000 5:0.4000 6:0.4000 7:0.4000 9:0.4000 11:0.2000 12:0.6000 13:0.6000 14:0.2000 15:0.4000 16:0.6000 17:0.2000 18:0.4000 19:0.4000 20:0.4000 21:0.4000 22:0.4000 23:0.4000 24:0.6000 25:0.2000 26:0.8000 27:0.8000 28:0.4000 29:0.2000 30:0.6000 31:0.2000 33:0.4000 34:0.2000 35:0.2000 36:0.8000 37:0.6000 38:0.4000 39:0.4000 40:0.6000 41:0.2000 42:0.4000 43:0.2000 45:0.4000 46:0.2000 47:0.4000 48:0.4000 49:0.4000 50:0.2000 51:0.2000 52:0.2000 54:0.6000 55:0.4000 56:0.4000 57:0.2000 58:0.2000 59:0.4000 60:0.4000 61:0.6000 62:0.4000 63:0.4000 64:0.2000
152	44.800000	-63:0.4000 -62:0.2000 -61:0.2000 -59:0.4000 -58:0.4000 -57:0.6000 -56:0.2000 -55:0.2000 -54:0.4000 -53:0.4000 -52:0.2000 -51:0.2000 -50:0.2000 -49:0.4000 -48:0.4000 -47:0.6000 -46:0.4000 -45:0.4000 -43:0.2000 -42:0.4000 -41:0.6000 -40:0.4000 -39:0.2000 -38:0.2000 -37:0.4000 -36:0.2000 -35:0.4000 -34:0.6000 -33:0.8000 -32:0.4000 -31:0.4000 -30:0.2000 -29:0.6000 -28:0.4000 -27:0.6000 -26:0.4000 -25:0.6000 -24:0.4000 -23:0.2000 -21:0.6000 -20:0.4000 -19:0.8000 -18:0.6000 -17:0.4000 -16:0.8000 -15:0.4000 -14:0.2000 -13:0.4000 -12:0.4000 -10:0.4000 -9:0.6000 -8:0.4000 -7:0.2000 -6:0.4000 -5:0.4000 -4:0.6000 -3:0.4000 -2:0.6000 -1:0.4000 0:0.2000 1:0.4000 2:0.8000 4:0.8000 5:0.4000 6:0.2000 7:0.6000 8:0.6000 9:0.2000 10:0.4000 11:0.4000 12:0.2000 13:0.2000 14:0.4000 15:0.2000 17:0.4000 18:0.2000 19:0.4000 20:0.4000 21:0.4000 22:0.8000 23:0.4000 24:0.8000 25:0.4000 26:0.6000 27:0.4000 28:0.6000 29:0.4000 30:0.4000 31:0.4000 32:0.2000 33:0.2000 34:0.4000 35:0.4000 36:0.2000 37:0.4000 39:0.2000 40:0.4000 41:0.2000 42:0.2000 44:0.2000 45:0.2000 46:0.2000 47:0.4000 48:0.4000 50:0.4000 51:0.2000 52:0.4000 53:0.4000 54:0.2000 55:0.2000 58:0.6000 59:0.2000 60:0.6000 64:0.2000
153	43.200000	-64:0.2000 -63:0.4000 -62:0.6000 -61:0.2000 -59:0.2000 -58:0.4000 -57:0.4000 -56:0.2000 -55:0.2000 -54:0.2000 -53:0.4000 -52:0.6000 -50:0.4000 -49:0.4000 -48:0.4000 -47:0.6000 -46:0.6000 -45:0.6000 -44:0.4000 -41:0.4000 -40:0.2000 -38:0.4000 -37:0.4000 -36:0.6000 -35:0.2000 -34:0.6000 -33:0.2000 -32:0.4000 -31:0.4000 -30:0.4000 -29:0.6000 -28:0.4000 -27:0.8000 -26:0.2000 -25:0.6000 -24:0.2000 -23:0.4000 -22:0.4000 -21:0.4000 -20:0.6000 -19:0.2000 -18:0.6000 -17:0.6000 -16:0.2000 -15:0.4000 -14:0.4000 -13:0.6000 -12:0.4000 -11:0.2000 -10:0.4000 -9:0.6000 -8:0.2000 -7:0.8000 -6:0.4000 -5:0.4000 -4:0.2000 -3:0.2000 -2:0.6000 -1:0.6000 0:0.4000 1:0.2000 2:0.8000 3:0.2000 4:0.8000 5:0.8000 6:0.6000 7:0.4000 8:0.4000 9:0.2000 10:0.4000 11:0.4000 12:0.2000 13:0.4000 14:0.6000 15:0.4000 16:0.4000 18:0.4000 20:0.4000 22:0.4000 23:0.2000 24:0.8000 25:0.2000 26:0.6000 27:0.4000 28:0.4000 29:0.2000 31:0.4000 32:0.4000 33:0.4000 34:0.4000 35:0.2000 36:0.2000 37:0.4000 38:0.6000 39:0.6000 40:0.6000 43:0.2000 44:0.2000 45:0.2000 47:0.2000 48:0.4000 50:0.4000 51:0.2000 52:0.2000 53:0.2000 54:0.2000 56:0.4000 60:0.2000 62:0.2000
154	46.600000	-64:0.2000 -63:0.6000 -62:0.2000 -61:0.2000 -59:0.4000 -58:0.2000 -57:0.4000 -56:0.2000 -55:0.4000 -54:0.2000 -53:0.6000 -52:0.4000 -50:0.2000 -49:0.8000 -48:0.4000 -47:0.6000 -46:0.8000 -45:0.8000 -43:0.2000 -41:0.2000 -40:0.4000 -39:0.4000 -38:0.6000 -37:0.6000 -36:0.4000 -34:0.4000 -33:0.6000 -32:0.6000 -31:0.6000 -30:0.6000 -29:0.2000 -28:0.6000 -27:0.6000 -26:0.2000 -25:1.0000 -24:0.4000 -23:0.6000 -22:0.4000 -21:0.4000 -20:0.2000 -19:0.6000 -18:0.2000 -17:0.6000 -16:0.4000 -15:0.6000 -14:0.8000 -13:0.4000 -11:0.6000 -10:0.8000 -9:0.8000 -8:0.4000 -7:0.4000 -6:0.4000 -5:0.4000 -4:0.4000 -3:0.4000 -2:0.4000 -1:0.6000 0:0.4000 1:0.2000 2:0.6000 3:0.4000 4:0.8000 5:0.4000 6:0.6000 7:0.8000 8:0.4000 9:0.6000 10:0.4000 11:0.6000 12:0.2000 13:0.6000 14:0.6000 15:0.2000 16:0.4000 18:0.4000 20:0.8000 21:0.2000 22:0.4000 23:0.4000 24:0.4000 26:0.2000 27:0.8000 28:0.6000 29:0.4000 30:0.6000 31:0.4000 32:0.2000 33:0.2000 34:0.4000 36:0.4000 37:0.4000 38:0.2000 39:0.4000 40:0.6000 41:0.2000 45:0.4000 46:0.2000 48:0.4000 52:0.2000 54:0.6000 55:0.2000 58:0.4000 59:0.2000 60:0.2000
155	46.000000	-64:0.4000 -63:0.4000 -62:0.2000 -61:0.2000 -60:0.2000 -59:0.4000 -58:0.2000 -57:0.4000 -55:0.2000 -53:0.4000 -52:0.2000 -51:0.2000 -50:0.2000 -49:0.4000 -48:0.6000 -47:0.6000 -46:0.4000 -45:0.4000 -43:0.4000 -42:0.4000 -41:0.6000 -40:0.6000 -39:0.4000 -38:0.4000 -37:0.4000 -36:0.2000 -35:0.4000 -34:0.4000 -33:0.2000 -32:0.2000 -31:0.6000 -30:0.4000 -29:0.2000 -28:0.4000 -27:0.4000 -26:0.6000 -25:0.4000 -24:0.2000 -22:0.2000 -21:0.2000 -20:0.4000 -19:0.8000 -18:0.2000 -17:0.4000 -16:0.4000 -15:0.2000 -14:0.4000 -13:0.2000 -11:0.4000 -10:0.6000 -9:0.2000 -8:0.2000 -7:0.4000 -6:0.8000 -5:0.6000 -4:0.4000 -3:0.4000 -2:0.4000 -1:0.6000 0:0.6000 1:0.4000 2:1.0000 3:0.4000 4:0.6000 5:0.2000 6:0.2000 7:0.8000 8:0.8000 9:0.4000 10:0.2000 11:0.2000 12:0.4000 13:0.4000 14:0.4000 15:0.6000 16:0.4000 17:0.2000 18:0.2000 19:0.6000 20:0.6000 21:0.4000 22:0.4000 23:0.4000 24:0.4000 25:0.4000 26:0.6000 27:0.8000 28:0.6000 29:0.2000 30:0.6000 31:0.2000 35:0.4000 36:0.4000 37:0.4000 38:0.4000 39:0.6000 40:0.4000 41:0.4000 42:0.2000 43:0.2000 45:0.6000 47:0.2000 48:0.6000 50:0.4000 51:0.2000 54:0.6000 55:0.2000 56:0.6000 57:0.4000 58:0.6000 59:0.2000 60:0.6000 61:0.2000 62:0.4000
156	45.000000	-64:0.6000 -63:0.6000 -62:0.4000 -61:0.8000 -60:0.6000 -59:0.4000 -57:0.4000 -56:0.6000 -55:0.4000 -54:0.2000 -52:0.4000 -51:0.2000 -50:0.6000 -49:0.2000 -48:0.4000 -47:0.6000 -46:0.2000 -45:0.4000 -44:0.4000 -43:0.2000 -42:0.4000 -41:0.8000 -40:0.4000 -39:0.6000 -38:0.4000 -37:0.2000 -36:0.2000 -35:0.6000 -34:0.2000 -33:0.4000 -32:0.6000 -31:0.2000 -30:0.6000 -29:0.8000 -28:0.4000 -27:0.6000 -26:0.4000 -25:0.6000 -24:0.6000 -23:0.2000 -22:0.2000 -21:1.0000 -20:0.2000 -19:0.8000 -18:0.2000 -17:0.8000 -16:0.6000 -15:0.4000 -14:0.6000 -13:0.2000 -11:0.2000 -10:0.6000 -9:0.4000 -8:0.4000 -7:0.6000 -6:0.8000 -5:0.6000 -4:0.8000 -3:0.2000 -2:0.4000 -1:0.2000 0:0.6000 1:0.4000 2:0.2000 3:0.2000 4:0.4000 5:0.6000 6:0.2000 7:0.6000 9:0.2000 10:0.6000 11:0.2000 12:0.4000 13:0.2000 14:0.6000 15:0.4000 16:0.4000 17:0.4000 18:0.2000 19:0.4000 20:0.6000 22:0.2000 23:0.2000 24:0.2000 25:0.4000 26:0.2000 27:0.4000 28:0.2000 29:0.2000 30:0.2000 31:0.2000 32:0.4000 34:0.4000 35:0.2000 36:0.4000 39:0.2000 42:0.2000 45:0.2000 46:0.2000 47:0.2000 48:0.2000 49:0.4000 50:0.2000 51:0.2000 54:0.6000 55:0.4000 56:0.4000 58:0.4000 59:0.4000 60:0.2000 61:0.4000 62:0.4000 63:0.2000
157	44.200000	-61:0.4000 -60:0.2000 -59:0.2000 -58:0.4000 -56:0.4000 -52:0.4000 -49:0.4000 -48:0.2000 -47:0.4000 -46:0.2000 -45:0.2000 -44:0.2000 -43:0.2000 -42:0.4000 -41:0.2000 -40:0.2000 -39:0.4000 -38:0.4000 -37:0.2000 -36:0.4000 -35:0.2000 -34:0.4000 -33:0.2000 -32:0.2000 -31:0.4000 -30:0.2000 -29:0.4000 -28:0.4000 -27:0.4000 -26:0.2000 -25:0.4000 -24:0.6000 -23:0.6000 -22:0.4000 -21:0.4000 -20:0.2000 -19:0.8000 -18:0.2000 -17:0.6000 -16:0.2000 -15:0.6000 -13:0.6000 -12:0.4000 -10:0.4000 -9:0.6000 -8:0.4000 -7:0.6000 -6:0.6000 -5:0.2000 -4:0.4000 -3:0.2000 -2:0.4000 -1:0.4000 0:0.4000 1:0.6000 2:0.2000 3:0.4000 4:0.4000 6:0.4000 7:0.6000 8:0.4000 11:0.6000 12:0.2000 13:0.4000 14:0.4000 16:0.6000 17:0.6000 18:0.6000 19:0.2000 20:0.4000 21:0.4000 22:0.6000 23:0.6000 24:0.6000 25:0.2000 26:0.6000 27:0.4000 28:0.6000 29:0.2000 30:0.8000 31:0.6000 32:0.4000 33:0.4000 35:0.8000 36:0.4000 38:0.6000 39:0.4000 40:0.6000 41:0.4000 43:0.2000 45:0.6000 47:0.6000 48:0.2000 49:0.4000 51:0.2000 52:0.4000 53:0.6000 54:0.2000 55:0.6000 56:0.4000 57:0.6000 58:0.4000 59:0.4000 60:0.6000 61:0.6000 62:0.2000 63:0.4000 64:0.4000
158	45.200000	-63:0.2000 -62:0.4000 -61:0.8000 -60:0.2000 -59:0.4000 -58:0.6000 -57:0.2000 -56:0.6000 -55:0.2000 -54:0.2000 -52:0.4000 -49:0.2000 -48:0.6000 -47:0.4000 -46:0.2000 -45:0.2000 -43:0.4000 -42:0.4000 -41:0.4000 -40:0.2000 -38:0.2000 -37:0.6000 -36:0.4000 -35:0.4000 -34:0.6000 -33:0.4000 -32:0.4000 -31:0.8000 -30:0.4000 -29:0.8000 -28:0.4000 -27:0.8000 -26:0.6000 -25:0.2000 -24:0.6000 -22:0.4000 -21:0.4000 -20:0.6000 -19:0.6000 -18:0.4000 -17:0.4000 -16:0.2000 -15:1.0000 -14:0.4000 -13:0.2000 -12:0.8000 -11:0.4000 -10:0.4000 -9:0.4000 -8:0.4000 -7:0.6000 -6:0.8000 -5:0.4000 -4:0.6000 -3:0.6000 -2:0.2000 -1:0.8000 0:0.4000 1:0.6000 2:0.6000 3:0.2000 4:0.4000 5:0.4000 6:0.2000 7:0.6000 8:0.6000 9:0.2000 10:0.4000 11:0.4000 12:0.2000 13:0.6000 14:0.6000 16:0.4000 17:0.4000 18:0.8000 19:0.4000 20:0.4000 21:0.4000 22:0.6000 23:0.2000 24:0.6000 25:0.2000 26:0.2000 27:0.4000 28:0.2000 30:0.6000 31:0.4000 32:0.2000 33:0.2000 34:0.2000 35:0.6000 38:0.2000 39:0.6000 40:0.8000 41:0.2000 45:0.4000 47:0.2000 49:0.2000 50:0.2000 51:0.2000 53:0.4000 54:0.2000 55:0.2000 56:0.4000 57:0.2000 58:0.2000 60:0.2000 61:0.4000 62:0.2000 63:0.2000
159	54.600000	-64:0.2000 -63:0.8000 -62:0.6000 -61:0.6000 -60:0.4000 -59:0.4000 -58:0.4000 -57:0.4000 -56:0.4000 -55:0.6000 -53:0.2000 -52:0.4000 -51:0.2000 -50:0.6000 -49:0.4000 -48:0.8000 -47:0.4000 -46:0.4000 -45:0.2000 -43:0.4000 -42:0.6000 -41:0.4000 -40:0.4000 -39:0.2000 -38:0.2000 -37:1.0000 -36:0.4000 -35:0.4000 -34:0.6000 -33:0.2000 -32:0.4000 -31:0.8000 -30:0.2000 -29:0.8000 -28:0.4000 -27:0.6000 -26:0.4000 -25:0.6000 -24:0.6000 -23:0.6000 -22:0.6000 -21:0.6000 -20:0.4000 -19:0.4000 -18:0.2000 -17:0.4000 -16:0.4000 -15:0.8000 -14:0.6000 -13:0.2000 -12:0.4000 -11:0.4000 -10:0.4000 -9:0.2000 -8:0.8000 -7:0.4000 -6:0.8000 -5:0.2000 -4:0.4000 -3:0.6000 -2:0.2000 -1:0.6000 0:0.6000 1:0.4000 2:0.2000 3:0.4000 4:0.2000 5:0.4000 6:0.4000 7:0.4000 8:0.6000 9:0.4000 10:0.4000 11:0.4000 12:0.4000 13:0.6000 14:0.8000 15:0.4000 16:0.6000 17:0.6000 18:0.8000 19:1.0000 20:0.6000 21:0.6000 22:0.4000 23:0.6000 24:0.2000 25:0.4000 26:0.4000 27:0.2000 28:0.6000 29:0.2000 30:0.6000 31:0.6000 32:0.6000 33:0.2000 34:0.4000 35:0.4000 37:0.4000 38:0.4000 39:0.2000 40:0.8000 41:0.2000 42:0.2000 44:0.2000 45:0.6000 46:0.2000 47:0.4000 48:0.4000 50:0.4000 51:0.2000 52:0.2000 53:0.4000 54:0.6000 55:0.2000 56:0.4000 57:0.4000 58:0.6000 60:0.6000 61:0.6000 62:0.2000 64:0.2000
160	51.800000	-64:0.4000 -63:0.2000 -62:0.6000 -61:0.4000 -60:0.2000 -58:0.4000 -57:0.4000 -56:0.4000 -55:0.4000 -54:0.8000 -53:0.2000 -52:0.4000 -51:0.8000 -50:0.4000 -49:0.6000 -48:0.6000 -47:0.6000 -46:0.4000 -45:0.6000 -44:0.8000 -43:0.8000 -42:0.6000 -41:0.6000 -40:0.6000 -39:0.6000 -38:0.6000 -37:0.4000 -36:0.4000 -35:0.6000 -34:0.6000 -33:0.6000 -32:0.8000 -31:0.4000 -30:0.4000 -29:0.6000 -28:0.8000 -27:0.6000 -26:0.6000 -25:0.8000 -24:0.2000 -23:0.4000 -22:0.6000 -21:0.6000 -20:0.2000 -19:0.4000 -18:0.6000 -17:0.6000 -16:0.4000 -15:0.6000 -14:0.4000 -13:0.6000 -12:0.4000 -11:0.2000 -10:0.6000 -9:0.6000 -8:0.6000 -7:0.6000 -6:0.4000 -5:0.6000 -4:0.6000 -3:0.8000 -2:0.4000 -1:0.4000 0:0.4000 1:0.2000 2:0.8000 3:0.8000 4:0.4000 5:0.2000 6:0.4000 7:0.2000 8:0.2000 9:0.6000 10:0.4000 11:0.6000 12:0.4000 13:0.2000 15:0.4000 16:0.4000 17:0.6000 18:0.6000 20:0.4000 21:0.4000 22:0.8000 24:0.8000 25:0.2000 26:0.6000 27:0.6000 28:0.6000 30:0.4000 31:0.4000 32:0.4000 34:0.4000 35:0.2000 36:0.6000 37:0.4000 38:0.4000 39:0.4000 40:0.2000 41:0.2000 43:0.2000 45:0.2000 48:0.4000 50:0.4000 51:0.2000 53:0.2000 54:0.2000 56:0.2000 58:0.2000 60:0.2000 61:0.2000 62:0.2000
